JINA_ID,Ref,Name,Simbad_Identifier,Fe/H,C/H
472,BAR05,HE1245-1616,2MASS_J12475678-1632441,'-2.97,'-2.24
473,REN12,HE1245-1616,2MASS_J12475678-1632441,'-2.98,'-2.09
474,BON09,BS16076-006,2MASS_J12482275+2056440,'-3.81,'-3.35
475,LAI07,BS16076-006,2MASS_J12482275+2056440,'-3.0,'-2.27
476,BAR05,HE1246-1344,2MASS_J12492024-1400415,'-3.4,'-3.5
477,REN12,HE1246-1344,2MASS_J12492024-1400415,'-3.4,'-3.34
478,BAR05,HE1247-2114,2MASS_J12500511-2130473,'-2.61,'-2.33
479,REN12,HE1247-2114,2MASS_J12500511-2130473,'-2.61,'-2.17
480,BAR05,HE1248-1800,2MASS_J12512795-1816300,'-2.89,'-2.41
481,BAR05,HE1249-3121,2MASS_J12520513-3137449,'-3.23,'-1.42
482,BAR05,HE1249-2932,2MASS_J12521835-2948567,'-2.65,'-3.11
483,BAR05,HE1251-0104,2MASS_J12535206-0120353,'-2.73,'-2.52
484,REN12,HE1251-0104,2MASS_J12535206-0120353,'-2.73,'-2.36
485,BAR05,HE1252-0117,2MASS_J12545984-0133349,'-2.86,'-3.05
486,BAR05,HE1252+0044,2MASS_J12552210+0028011,'-3.28,'-2.73
487,BAR05,HE1254+0009,2MASS_J12571291-0006394,'-2.95,'-3.09
488,BAR05,HE1256-0228,2MASS_J12583845-0244175,'-2.08,'-2.16
489,BAR05,HE1256-0651,2MASS_J12591309-0707191,'-2.35,'-1.78
490,REN12,HE1256-0651,2MASS_J12591309-0707191,'-2.36,'-1.62
491,BAR05,HE1259-0621,2MASS_J13015111-0637140,'-2.64,'-2.27
492,BAR05,HE1300-2431,2MASS_J13030004-2447122,'-3.25,'-3.45
493,REN12,HE1300-2431,2MASS_J13030004-2447122,'-3.25,'-3.29
494,BAR05,HE1300-2201,2MASS_J13031731-2217379,'-2.6,'-1.63
495,BAR05,HE1300-0642,2MASS_J13032340-0658232,'-3.02,'-2.72
496,REN12,HE1300-0642,2MASS_J13032340-0658232,'-3.03,'-2.57
497,ALL12,BS16929-005,2MASS_J13032947+3351091,'-3.15,'-1.43
498,HON04,BS16929-005,2MASS_J13032947+3351091,'-2.98,'-2.04
499,LAI08,BS16929-005,2MASS_J13032947+3351091,'-3.33,'-2.28
500,BAR05,HE1300-0641,2MASS_J13033414-0657207,'-3.14,'-1.89
501,AOK05,BS16033-008,2MASS_J13055616+2510161,'-2.84,'-2.23
502,BAR05,HE1305-0331,2MASS_J13075893-0347403,'-3.26,'-2.17
503,REN12,HE1305-0331,2MASS_J13075893-0347403,'-3.26,'-2.01
504,SCH07,HE1305+0132,2MASS_J13081774+0116495,'-2.5,0.14
505,HAN15,HE1310-0536,2MASS_J13133118-0552124,'-4.15,'-1.79
506,LI15c,LAMOSTJ1313-0552,2MASS_J13133118-0552124,'-4.11,'-2.28
507,HAN14,HE1310-0536,2MASS_J13133118-0552124,'-4.15,'-1.67
508,BAR05,HE1311-1412,2MASS_J13134199-1428246,'-2.88,'-3.08
509,HOL11,HE1311-0131,2MASS_J13134202-0147153,'-3.15,'-2.82
510,AOK02a,CS22877-001,2MASS_J13135537-1211415,'-2.72,'-1.63
511,ROE14a,CS22877-001,2MASS_J13135537-1211415,'-3.31,'-2.21
512,ROE14b,CS22877-001,2MASS_J13135537-1211415,'-3.31,'-2.21
515,BAR05,HE1314-3036,2MASS_J13172923-3051507,'-2.98,'-3.16
517,ALL12,BS16033-081,2MASS_J13191246+2227575,'-2.2,'-1.21
519,ALL12,BS16543-097,2MASS_J13262814+2138429,'-2.48,'-1.12
520,AOK05,BS16543-097,2MASS_J13262814+2138429,'-2.52,'-2.23
521,AOK05,BS16934-002,2MASS_J13294651+1615450,'-2.79,'-3.13
522,AOK07c,BS16934-002,2MASS_J13294651+1615450,'-2.82,'-3.08
523,BAR05,HE1330-0607,2MASS_J13325658-0622304,'-2.33,'-2.16
524,BAR05,HE1330-0354,2MASS_J13331067-0410057,'-2.29,'-1.28
525,REN12,HE1330-0354,2MASS_J13331067-0410057,'-2.29,'-1.12
526,BAR05,HE1332-0309,2MASS_J13343788-0324529,'-2.46,'-2.29
527,REN12,HE1332-0309,2MASS_J13343788-0324529,'-2.46,'-2.13
529,BAR05,HE1335+0135,2MASS_J13375386+0120270,'-2.47,'-2.37
530,BAR05,HE1337-0453,2MASS_J13395820-0508313,'-2.34,'-2.26
531,REN12,HE1337-0453,2MASS_J13395820-0508313,'-2.34,'-2.1
533,ALL12,BS16082-129,2MASS_J13471172+2857471,'-2.65,'-1.3
534,HON04,BS16082-129,2MASS_J13471172+2857471,'-2.85,'-2.44
535,BAR05,HE1345-0206,2MASS_J13481600-0221469,'-2.82,'-2.52
536,AOK05,BS16089-013,2MASS_J13492196+3544502,'-2.82,'-3.05
537,BAR05,HE1351-1049,2MASS_J13535712-1104245,'-3.45,'-1.94
538,NOR10,Boo-1137,2MASS_J13583380+1421083,'-3.71,'-3.45
539,FRE16,Boo-980,2MASS_J13591264+1342557,'-3.06,'-3.46
541,ISH14,Boo-9,2MASS_J13594880+1419430,'-2.64,<-2.93
543,ISH14,Boo-911,2MASS_J14000107+1436515,'-2.16,'-2.93
547,ISH14,Boo-117,2MASS_J14001049+1431454,'-2.15,'-2.94
557,ISH14,Boo-94,2MASS_J14003150+1434034,'-3.18,<-2.93
559,ISH14,Boo-121,2MASS_J14003651+1439272,'-2.49,<-2.73
561,BON09,BS16023-046,2MASS_J14005447+2246423,'-2.97,'-2.3
563,CUI13,HE1405-0822,2MASS_J14074295-0836143,'-2.37,'-0.47
566,COH06,HE1410+0213,2MASS_J14130656+0159219,'-2.21,'-0.27
567,COH13,HE1410+0213,2MASS_J14130656+0159219,'-2.14,'-0.31
568,BAR05,HE1413-1954,2MASS_J14160471-2008540,'-3.19,'-1.78
569,LAI07,CS22883-020,2MASS_J14164424+0909336,'-2.02,<-1.89
570,BAR05,HE1419-1759,2MASS_J14221769-1813295,'-3.17,'-3.41
571,BAR05,HE1421-2006,2MASS_J14235044-2020106,'-2.65,'-2.39
572,HAN15,HE1429-0347,2MASS_J14322606-0400309,'-2.71,'-2.4
573,AOK07a,HE1429-0551,2MASS_J14323128-0605002,'-2.52,'-0.23
576,CAY04,BS16477-003,2MASS_J14325691+0646069,'-3.36,'-2.98
577,LAI07,BS16477-003,2MASS_J14325691+0646069,'-3.12,'-2.69
579,BAR05,HE1430-0026,2MASS_J14331629-0039476,'-2.78,'-2.3
580,BAR05,HE1430+0053,2MASS_J14331652+0040490,'-3.03,'-2.78
581,LAI07,BS16981-009,2MASS_J14331652+0040490,'-2.88,'-2.35
582,BAR05,HE1430-1123,2MASS_J14333363-1137073,'-2.7,'-0.9
583,BAR05,HE1431-2142,2MASS_J14340669-2155166,'-2.6,'-2.15
584,REN12,HE1431-2142,2MASS_J14340669-2155166,'-2.6,'-2.0
586,COH06,HE1434-1442,2MASS_J14372659-1454594,'-2.43,'-0.27
587,COH13,HE1434-1442,2MASS_J14372659-1454594,'-2.38,'-0.31
589,COH06,HE1443+0113,2MASS_J14461636+0101098,'-2.12,'-0.07
590,COH13,HE1443+0113,2MASS_J14461636+0101098,'-2.11,'-0.47
591,AOK07a,HE1447+0102,2MASS_J14501503+0050151,'-2.52,'-0.03
592,AOK05,BS16083-172,2MASS_J14504144+4845136,'-2.53,'-2.23
595,AOK05,CS30325-094,2MASS_J14543927+0421380,'-3.17,'-2.73
596,CAY04,CS30325-094,2MASS_J14543927+0421380,'-3.3,'-3.21
