JINA_ID,Ref,Name,Simbad_Identifier,Fe/H,O/H
1066,ROE14b,BD-206008,BD-20_6008,'-3.0,<-2.48
1073,RIC09,BD+023375,BD+02_3375,'-2.39,'-1.67
1080,IVA03,G84-29a,BD+03_740,'-2.98,<-2.0
1081,IVA03,G84-29b,BD+03_740,'-2.76,<-1.96
1082,LAI08,G84-29,BD+03_740,'-2.7,<-1.59
1084,RIC09,BD+03740,BD+03_740,'-2.89,'-1.98
1102,RIC09,BD+092190,BD+09_2190,'-3.0,'-2.2
1116,ROE10,BD+102495,BD+10_2495,'-2.31,'-1.39
1117,ROE14b,BD+102495,BD+10_2495,'-2.16,'-1.95
1128,CAY04,BD+173248,BD+17_3248,'-2.04,'-1.33
1129,COW02,BD+173248,BD+17_3248,'-2.06,'-1.39
1141,RIC09,BD+202030,BD+20_2030,'-2.77,'-1.88
1145,RIC09,BD+203603,BD+20_3603,'-2.22,'-1.48
1151,LAI08,G170-47,BD+23_3130,'-2.57,'-1.89
1157,IVA03,BD+241676,BD+24_1676,'-2.5,'-1.49
1158,LAI08,BD+241676,BD+24_1676,'-2.62,'-1.84
1160,ROE14b,BD+241676,BD+24_1676,'-2.7,'-2.4
1169,RIC09,BD+262621,BD+26_2621,'-2.69,'-1.78
1181,RIC09,BD+371458,BD+37_1458,'-2.14,'-0.96
1183,ROE14b,G190-15,BD+38_4955,'-3.12,<-1.66
1188,ITO09,BD+44493,BD+44_493,'-3.73,'-2.12
1189,ITO13,BD+44493,BD+44_493,'-3.83,'-2.19
1190,PLA14b,BD+44493,BD+44_493,'-3.88,'-2.34
1199,IVA03,G251-54,BD+80_245,'-2.09,<-1.95
1200,ROE14b,BD+80245,BD+80_245,'-2.04,'-1.84
1202,LAI08,BS16077-007,BPS_BS_16077-0007,'-2.71,<-1.19
1205,HAN11,CS30317-056,BPS_BS_16477-0021,'-2.85,'-1.77
1223,ROE14b,CS22169-008,BPS_CS_22169-0008,'-2.85,'-1.98
1224,ROE14b,CS22171-031,BPS_CS_22171-0031,'-2.54,'-2.1
1225,ROE14b,CS22171-037,BPS_CS_22171-0037,'-3.63,<-2.8
1227,ROE14b,CS22174-020,BPS_CS_22174-0020,'-3.29,<-2.35
1228,ROE14b,CS22177-010,BPS_CS_22177-0010,'-3.0,<-2.59
1232,ROE14b,CS22191-029,BPS_CS_22191-0029,'-2.94,'-2.44
1236,ROE14b,CS22872-102,BPS_CS_22872-0102,'-2.85,'-2.43
1237,ROE14b,CS22873-072,BPS_CS_22873-0072,'-3.08,<-2.5
1241,CAY04,CS22873-0166,BPS_CS_22873-0166,'-2.92,0.05
1251,ROE14b,CS22877-011,BPS_CS_22877-0011,'-3.23,'-2.29
1253,ROE14b,CS22877-051,BPS_CS_22877-0051,'-3.03,<-2.45
1257,ROE14b,CS22879-012,BPS_CS_22879-0012,'-3.01,'-2.45
1258,ROE14b,CS22879-029,BPS_CS_22879-0029,'-2.55,'-1.8
1259,ROE14b,CS22879-051,BPS_CS_22879-0051,'-3.02,'-2.77
1260,ROE14b,CS22879-094,BPS_CS_22879-0094,'-3.15,<-2.02
1270,ROE14b,CS22881-032,BPS_CS_22881-0032,'-3.55,<-1.46
1274,ROE14b,CS22881-070,BPS_CS_22881-0070,'-2.96,<-2.43
1276,ROE14b,CS22884-020,BPS_CS_22884-0020,'-2.48,'-2.16
1278,ROE14b,CS22885-040,BPS_CS_22885-0040,'-2.78,'-2.29
1280,ROE14b,CS22885-203,BPS_CS_22885-0203,'-2.73,'-1.97
1281,ROE14b,CS22886-012,BPS_CS_22886-0012,'-2.88,'-2.12
1285,ROE14b,CS22888-031,BPS_CS_22888-0031,'-3.71,<-2.53
1291,ROE14b,CS22890-011,BPS_CS_22890-0011,'-2.68,'-2.1
1292,ROE14b,CS22891-221,BPS_CS_22891-0221,'-3.23,<-1.93
1294,ROE14b,CS22892-025,BPS_CS_22892-0025,'-2.78,<-2.49
1296,ROE14b,CS22893-005,BPS_CS_22893-0005,'-2.99,<-1.94
1298,ROE14a,CS22893-010,BPS_CS_22893-0010,'-3.12,'-2.11
1299,ROE14b,CS22893-010,BPS_CS_22893-0010,'-3.12,'-2.11
1300,ROE14b,CS22893-011,BPS_CS_22893-0011,'-2.4,'-1.98
1301,ROE14b,CS22894-004,BPS_CS_22894-0004,'-2.96,'-2.29
1304,ROE14b,CS22894-049,BPS_CS_22894-0049,'-2.84,<-2.42
1305,ROE14b,CS22896-015,BPS_CS_22896-0015,'-2.85,<-2.15
1306,ROE14b,CS22896-055,BPS_CS_22896-0055,'-2.52,'-2.23
1308,ROE14b,CS22896-110,BPS_CS_22896-0110,'-2.85,'-2.5
1309,ROE14b,CS22896-115,BPS_CS_22896-0115,'-2.82,'-1.94
