JINA_ID,Ref,Name,Simbad_Identifier,Fe/H,O/H
1505,CAY04,CD-38245,CD-38_245,'-4.2,0.05
1508,NOR02,CD-38245,CD-38_245,'-3.98,'-3.14
1509,ROE14b,CD-38245,CD-38_245,'-4.59,<-2.33
1520,ROE14b,CS22891-184,DENIS_J192612.3-603406,'-2.68,'-2.28
1552,RIC09,G201-5,G_201-5,'-2.54,'-1.79
1561,ROE14b,G25-24,G_25-24,'-2.11,<-1.96
1563,ROE14b,CS22180-014,G_272-44,'-2.86,'-2.56
1569,ROE14b,G4-36,G_4-36,'-2.17,'-2.0
1571,ROE14b,G4-37,G_4-37,'-2.73,'-2.4
1572,RIC09,G75-56,G_75-56,'-2.38,'-1.56
1575,ROE14b,G90-3,G_90-3,'-2.4,'-2.06
1591,ROE14b,HD106373,HD_106373,'-2.61,'-2.21
1605,JON05,LTT13498,HD_108317,'-2.19,'-1.63
1609,ROE14b,HD108317,HD_108317,'-2.62,'-1.96
1636,WES00,HD115444,HD_115444,'-2.96,'-2.09
1645,ROE10,HD119516,HD_119516,'-2.26,'-1.43
1649,AFS16,HD122563,HD_122563,'-2.92,'-2.14
1650,AFS16,HD122563-IR,HD_122563,'-2.9,'-2.0
1653,AOK02a,HD122563,HD_122563,'-2.64,'-1.88
1655,AOK07c,HD122563,HD_122563,'-2.64,'-1.88
1658,CAY04,HD122563,HD_122563,'-2.78,'-2.15
1667,NOR02,HD122563,HD_122563,'-2.68,'-1.84
1671,ROE14b,HD122563,HD_122563,'-2.97,<-2.34
1676,WES00,HD122563,HD_122563,'-2.72,'-1.89
1688,ROE14b,HD126587,HD_126587,'-3.29,'-2.69
1697,JON05,HD128279,HD_128279,'-2.16,'-1.42
1699,ROE10,HD128279,HD_128279,'-2.51,'-1.37
1702,ROE14b,HD128279,HD_128279,'-2.52,'-2.01
1721,ROE14b,HD13979,HD_13979,'-2.97,'-2.25
1724,AOK02b,HD140283,HD_140283,'-2.58,'-1.39
1734,JON05,HD140283,HD_140283,'-2.26,'-1.6
1736,RIC09,HD140283,HD_140283,'-2.56,'-1.54
1772,ROE14b,HD175606,HD_175606,'-2.39,'-2.07
1782,CAY04,HD186478,HD_186478,'-2.57,'-1.79
1788,ROE14b,HD186478,HD_186478,'-2.75,'-2.21
1801,RIC09,HD19445,HD_19445,'-2.1,'-1.35
1802,ROE14b,HD19445,HD_19445,'-2.29,'-2.06
1811,JON05,HD196944,HD_196944,'-2.23,'-1.41
1813,PLA15b,HD196944NUV,HD_196944,'-2.41,'-2.09
1814,ROE14b,HD196944,HD_196944,'-2.39,'-2.03
1821,ROE14b,HD200654,HD_200654,'-3.13,<-2.09
1840,ROE14b,HD214362,HD_214362,'-2.06,'-1.64
1855,IVA06,HD221170,HD_221170,'-2.16,'-1.72
1870,ROE10,HD237846,HD_237846,'-3.29,'-1.61
1871,ROE14b,HD237846,HD_237846,'-3.21,'-2.04
1879,ROE14b,HD26169,HD_26169,'-2.8,'-2.24
1888,CAY04,HD2796,HD_2796,'-2.45,'-1.92
1906,RIC09,HD338529,HD_338529,'-2.32,'-1.51
1907,ROE14b,HD338529,HD_338529,'-2.6,'-2.2
1945,ROE14b,HD6268,HD_6268,'-2.82,'-2.15
1953,ROE14b,HD64090,HD_64090,'-2.03,'-1.54
1962,RIC09,HD74000,HD_74000,'-2.05,'-1.38
1987,RIC09,HD84937,HD_84937,'-2.2,'-1.31
2004,ROE14b,HD88609,HD_88609,'-3.29,'-2.43
2020,COL06,HE0107-5240,HE_0107-5240,'-5.44,'-3.03
2021,COL06,"HE0107-5240 (3D)",HE_0107-5240,'-5.67,'-3.64
2032,HAN15,HE0440-1049,HE_0440-1049,'-3.02,<-0.52
2033,HAN15,HE0450-4902,HE_0450-4902,'-3.07,<0.43
